"SC048Q01","RATCMP2","treat","Female","ST013Q01","ST034Q01","BELONG","ST121Q01","ST118Q04","ST011Q06","ST011Q07","MISCED","HISCED","HOMEPOS","ESCS","W_FSTUWT","STRATUM","CNTSTUID","SCHID"
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,1.095547163,-1.625473906,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.292767937,-0.215596192,2.374235943,24,3587,1
-0.520229403,0.127552831,0,1,-1.70371991,-1.171553016,-1.000430908,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.893792943,-0.28271487,-0.135892801,-0.240677651,2.374235943,24,7456,1
-0.520229403,0.127552831,0,0,0.422342259,0.002042159,-0.689720892,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,-0.28271487,1.387317478,-0.433171755,1.828288271,24,9428,1
-0.520229403,0.127552831,0,1,-1.70371991,1.175637335,0.808602989,1.095547163,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-1.02841569,-0.453017763,2.374235943,24,12183,1
-0.520229403,0.127552831,0,0,-0.99503252,0.002042159,-0.056072917,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.893792943,-1.315755663,-0.620602018,-1.601407635,1.828288271,24,14924,1
-0.520229403,0.127552831,0,0,-0.005587888,-0.001248465,-0.004103964,0.006261843,-0.001524954,0.00117577,0.003700613,-0.005284341,-0.006515863,-0.001082725,-0.006924403,1.828288271,24,17983,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,0.167738523,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.730702457,-0.323470814,2.374235943,24,21925,1
-0.520229403,0.127552831,0,0,-0.005587888,-0.001248465,-0.004103964,0.006261843,-0.001524954,0.00117577,0.003700613,-0.005284341,-0.006515863,-0.001082725,-0.006924403,1.828288271,24,22459,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,-0.564163487,0.586715906,6.30809031,0.825530246,-0.01000314,-0.28271487,-0.295543578,-0.310199557,2.374235943,24,27378,1
1.919673203,0.127552831,0,0,-1.70371991,0.002042159,-0.821922992,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.01000314,-0.28271487,-1.429752865,-0.200011597,1.832104956,22,566,3
